slug,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,female_ratio,header_count,male_ratio,num_female,num_male,readability,stars,total_num_commits,total_num_contributors,compound,has_url,contrib,coc,readMeLength
GMOD/cram-js,170,170,170,0.0,5,0.8333333333333334,0,5,-93.36,7,265,6,0.9966,False,0,0,79
bigeasy/rescue,171,171,171,0.0,1,1.0,0,1,42.38,3,95,1,0.1531,True,1,0,1
muzanella11/enemland,172,172,172,1.0,0,0.0,3,0,-132.59,0,26,3,0.0,False,0,0,1
gre/bezier-easing,173,173,173,0.14285714285714285,0,0.8571428571428571,1,6,-111.24,660,78,7,0.9219,True,0,0,17
hubotio/hubot-mock-adapter,174,174,174,0.2,2,0.8,1,4,-159.68,0,17,5,0.883,True,0,0,16
colohr/bxy,175,175,175,0.0,0,1.0,0,2,59.64,0,14,2,0.0,False,0,0,2
restarian/brace_maybe,176,176,176,0.0,0,1.0,0,1,-120.04,1,16,1,-0.7736,False,0,0,16
uptrend-tech/uptrend-redux-modules,177,177,177,1.0,9,0.0,1,0,-241.82,4,97,1,0.9745,False,1,0,22
AckerApple/stripe-angular,178,178,178,0.4,4,0.4,2,2,-125.27,4,33,5,0.7922,False,0,0,10
tradle/validate-resource,179,179,179,0.5,2,0.5,1,1,-81.14,0,147,2,-0.3182,False,0,0,3
dojo/widgets,180,180,180,0.16666666666666666,7,0.7916666666666666,4,19,-1.72,35,421,24,0.9951,True,0,0,66
martiuh/dinastico,181,181,181,0.6666666666666666,4,0.3333333333333333,2,1,-40.49,0,104,3,0.9402,False,0,0,8
canjs/can-validate-interface,182,182,182,0.07692307692307693,4,0.9230769230769232,1,12,-291.97,2,54,13,0.5759,True,1,0,13
hacknug/tailwindcss-background-extended,183,183,183,1.0,3,0.0,1,0,-43.07,1,13,1,0.7184,True,0,0,4
OpenBudget/budgetkey-ng2-auth,184,184,184,0.0,6,1.0,0,2,33.04,0,28,2,0.6597,False,0,0,12
bukinoshita/pinggo-cli,185,185,185,0.5,5,0.0,2,0,-126.14,1,24,4,0.0,False,0,0,2
ITSjwags/npx-card,186,186,186,0.0,0,1.0,0,5,81.63,0,24,5,-0.2392,False,0,0,3
t-hart/parcel-plugin-obj,187,187,187,0.0,3,1.0,0,1,30.81,0,13,1,0.9408,False,0,0,8
cryptol0g1c/bitsignjs,188,188,188,0.6666666666666666,2,0.3333333333333333,2,1,-82.8,0,24,3,0.9753,False,0,0,14
canvaspixels/courgette,189,189,189,0.3333333333333333,14,0.6666666666666666,1,2,-11.29,4,432,3,0.9977,True,0,0,83
create3000/x_ite,190,190,190,0.0,1,1.0,0,2,30.74,2,1717,2,0.9955,True,0,0,53
smore-tools/smore,191,191,191,0.0,1,1.0,0,2,-107.2,0,43,2,0.0,True,0,0,1
0x4447/0x4447-plugin-eslint,192,192,192,0.0,3,1.0,0,3,-30.21,0,25,3,-0.4019,True,0,0,4
pip-webui2/pip-webui2-documents,193,193,193,0.0,2,1.0,0,4,-124.79,0,38,4,0.831,False,0,0,6
marp-team/marpit-svg-polyfill,194,194,194,1.0,7,0.0,1,0,-37.45,0,39,1,0.5411,False,0,0,31
canjs/can-custom-elements,195,195,195,0.09090909090909093,4,0.7272727272727273,1,8,-115.83,0,62,11,0.6402,True,1,0,10
appium/appium-safari-driver,196,196,196,0.0,3,0.5,0,1,38.28,0,11,2,0.6705,False,0,0,5
TransbankDevelopers/transbank-sdk-js-onepay,197,197,197,0.07692307692307693,5,0.8461538461538461,1,11,-63.44,9,303,13,-0.6239,False,0,0,32
rranauro/base-utils,198,198,198,0.0,3,1.0,0,3,-42.29,0,88,3,0.9813,False,0,0,57
breakdance/breakdance,199,199,199,0.0,4,0.6,0,3,-59.52,285,135,5,0.9831,True,0,0,42
